/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
Using gpu device 0: GRID K520
loading data
Training for Protists
epoch 9/200, minibatch 2/2, validation error nan %
epoch 10/200, minibatch 2/2, validation error nan %
epoch 11/200, minibatch 2/2, validation error nan %
epoch 12/200, minibatch 2/2, validation error nan %
epoch 13/200, minibatch 2/2, validation error nan %
epoch 14/200, minibatch 2/2, validation error nan %
epoch 15/200, minibatch 2/2, validation error nan %
epoch 16/200, minibatch 2/2, validation error nan %
epoch 17/200, minibatch 2/2, validation error nan %
epoch 18/200, minibatch 2/2, validation error nan %
epoch 19/200, minibatch 2/2, validation error nan %
epoch 20/200, minibatch 2/2, validation error nan %
epoch 21/200, minibatch 2/2, validation error nan %
epoch 22/200, minibatch 2/2, validation error nan %
epoch 23/200, minibatch 2/2, validation error nan %
epoch 24/200, minibatch 2/2, validation error nan %
epoch 25/200, minibatch 2/2, validation error nan %
epoch 26/200, minibatch 2/2, validation error nan %
epoch 27/200, minibatch 2/2, validation error nan %
epoch 28/200, minibatch 2/2, validation error nan %
epoch 29/200, minibatch 2/2, validation error nan %
epoch 30/200, minibatch 2/2, validation error nan %
epoch 31/200, minibatch 2/2, validation error nan %
epoch 32/200, minibatch 2/2, validation error nan %
epoch 33/200, minibatch 2/2, validation error nan %
epoch 34/200, minibatch 2/2, validation error nan %
epoch 35/200, minibatch 2/2, validation error nan %
epoch 36/200, minibatch 2/2, validation error nan %
epoch 37/200, minibatch 2/2, validation error nan %
epoch 38/200, minibatch 2/2, validation error nan %
epoch 39/200, minibatch 2/2, validation error nan %
epoch 40/200, minibatch 2/2, validation error nan %
epoch 41/200, minibatch 2/2, validation error nan %
epoch 42/200, minibatch 2/2, validation error nan %
epoch 43/200, minibatch 2/2, validation error nan %
epoch 44/200, minibatch 2/2, validation error nan %
epoch 45/200, minibatch 2/2, validation error nan %
